table,county,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,hour_all
104A2,Miaoli County,50,32,23,26,23,45,158,496,433,350,324,376,321,262,252,344,380,534,355,324,233,199,158,90,5788
104A2,Taichung City,585,314,206,165,188,326,930,4404,4046,3111,2805,3037,3023,2464,2670,2854,3233,4805,4034,2689,2067,2145,1846,1041,52988
104A2,Changhua County,132,87,61,46,69,154,364,1608,1130,974,984,1041,1000,750,846,931,1065,1636,1145,806,642,592,410,254,16727
104A2,Nantou County,43,34,23,17,30,51,135,435,401,416,371,422,384,329,347,338,430,521,365,298,213,198,151,102,6054
104A2,Yunlin County,90,63,41,23,33,74,185,728,554,525,563,501,480,373,402,508,619,724,563,425,314,269,167,141,8365
104A2,Chiayi City,41,18,23,18,14,18,56,178,181,156,126,173,180,157,164,176,202,287,175,178,136,137,124,59,2977
104A2,Chiayi County,50,35,24,19,25,69,161,517,369,376,378,324,345,294,355,361,435,541,378,320,240,171,122,83,5992
104A2,Tainan City,273,142,111,94,94,153,434,1916,1618,1259,1183,1316,1329,977,1114,1297,1310,1931,1513,1045,854,831,606,371,21771
104A2,Kaohsiung City,635,408,270,194,235,388,1026,4209,3816,3092,2982,3149,3125,2555,2699,3044,3671,4439,3690,2797,2059,2081,1882,1155,53601
104A2,Pingtung County,131,87,67,60,77,120,292,874,812,784,773,816,752,622,672,783,876,1093,854,618,538,439,362,227,12729
104A2,Yilan County,48,40,29,19,23,62,112,526,426,386,390,352,387,312,348,354,393,510,376,260,194,188,125,86,5946
104A2,Hualien County,39,18,22,14,20,37,95,312,321,299,332,315,329,273,283,276,294,391,306,197,190,168,114,75,4720
104A2,Taitung County,36,15,14,18,30,29,58,199,199,202,188,200,183,173,191,168,195,231,185,171,96,83,76,53,2993
104A2,Penghu County,6,8,5,4,7,8,21,67,53,60,59,55,64,64,45,62,69,90,52,52,28,32,20,12,943
104A2,Kinmen County,7,4,5,6,5,4,12,52,42,36,34,47,49,44,27,44,31,66,59,34,24,22,13,6,673
104A2,Lienchiang County,0,0,0,1,0,0,3,0,1,0,0,0,4,0,1,0,3,3,0,0,0,0,0,0,16
105A1,Taiwan,46,51,33,33,51,77,77,85,92,76,79,59,67,74,57,74,75,66,74,78,77,56,47,51,1555
105A1,Taipei City,0,6,4,4,1,6,5,2,7,6,7,2,1,3,4,2,2,2,3,6,5,4,2,6,90
105A1,New Taipei City,10,3,6,2,1,4,7,7,8,6,12,6,3,6,1,4,5,6,5,1,6,6,3,4,122
105A1,Keelung City,0,0,2,2,0,0,1,0,0,2,2,0,1,1,0,2,0,0,0,2,1,1,0,0,17
105A1,Taoyuan City,5,7,3,0,4,5,5,5,8,6,7,5,6,5,7,2,6,5,5,5,4,2,8,3,118
105A1,Hsinchu City,2,2,0,2,2,2,0,0,2,1,1,1,0,0,2,2,1,1,2,0,0,1,0,0,24
105A1,Hsinchu County,0,3,1,2,2,1,1,5,6,0,4,2,0,3,2,3,3,2,1,2,5,1,1,4,54
105A1,Miaoli County,2,0,1,2,1,1,4,5,0,3,3,1,5,6,2,0,2,1,1,2,4,1,2,1,50
105A1,Taichung City,1,2,1,1,4,9,9,5,6,3,5,6,4,3,3,4,7,3,7,5,7,5,6,4,110
105A1,Changhua County,0,9,4,1,2,10,6,8,9,5,5,4,4,2,1,5,9,7,8,8,7,6,2,3,125
105A1,Nantou County,0,0,1,3,1,0,1,4,3,4,5,3,1,1,7,8,6,3,4,5,4,3,4,2,73
105A1,Yunlin County,6,1,1,2,2,5,2,7,4,7,4,3,5,6,1,5,5,3,9,5,3,2,5,3,96
105A1,Chiayi City,0,1,0,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10
105A1,Chiayi County,2,2,0,1,1,2,8,4,6,2,0,5,6,3,5,8,4,4,3,6,2,3,1,0,78
105A1,Tainan City,4,2,4,2,8,5,8,12,14,11,8,7,10,6,5,10,8,9,9,11,11,7,2,8,181
105A1,Kaohsiung City,5,7,1,3,7,8,7,10,4,11,6,4,4,15,7,8,11,7,8,10,6,8,5,6,168
105A1,Pingtung County,6,2,2,2,7,5,4,5,7,4,3,5,5,3,5,3,1,6,3,2,6,3,2,3,94
105A1,Yilan County,2,1,1,2,3,5,1,0,1,2,3,2,3,3,1,2,2,4,2,4,0,0,0,0,44
105A1,Hualien County,0,1,0,0,0,3,3,3,4,1,1,1,6,3,2,4,0,2,1,3,4,2,1,1,46
105A1,Taitung County,0,1,1,0,3,3,4,1,2,1,3,1,2,4,2,2,2,1,2,1,0,1,3,2,42
